School Name,CanopyID,NCES School ID
Schoolcraft High School,177,263102006732
Science and Math Institute,178,530870003286
Scott Central High School,179,280390000748
SEEQS: the School for Examining Essential Questions of Sustainability,180,150003000298
Shamrock Garden Elementary School,181,370297001271
Shannon High School,182,481023013066
Shawnee High School,183,402757001463
Siloam Springs High School Conversion Charter,184,051245001003
Silverton School,185,080657001136
Sinai Elementary School,186,510177002769
Sisu Academy,187,
Soaring Heights Pk-8,188,080537006739
Social Justice Humanitas Academy,189,062271012895
The Social Justice School,190,110011500539
Solar Preparatory School for Girls,191,481623013321
South Rowan High School,192,370405001629
Souhegan Coop High School,193,330626000034
St. Alphonsus Catholic School,194,00699844
Statesmen College Preparatory Academy for Boys PCS,195,110011000518
Stilwell High School,196,402871001512
Rocky Mountain Prep - RISE,197,080336006689
Stuttgart Junior High School,198,051296001249
Summit Prep,199,060228711981
Taft Primary School,200,172076002358
Taos Academy Charter School,201,350011801055
Temple View Elementary,202,160153000269
The Creative School,203,110003000013
The Metropolitan Regional Career and Technical Center,204,440000300121
The NET Charter High School: Gentilly,205,220029302439
The Young Women's Leadership School of Astoria,206,360010205948
Don Tyson School of Innovation,207,051266001633
TRIO Wolf Creek Distance Learning Charter School,208,270023502689
Two Rivers Public Charter School: 4th Street Campus,209,110004500279
UCLA Community School,210,062271012524
Urban Assembly Maker Academy,211,360007706463
Urban Montessori Charter School,212,060181613008
Valley New School,213,550039003341
Valley View Middle School,214,271125002035
Valor Flagship Academy,215,470318002423
Valor Voyager Academy,216,470318002432
Vilas Elementary School,217,330299000120
Waimea Canyon Middle School,218,150003000092
Warren County High School,219,470435001749
Washington Leadership Academy,220,110010300510
Waukesha STEM Academy Saratoga Campus,221,551578002023
Weber Elementary,222,481428009249
West Side Collaborative Middle School,223,360007803603
West Woods Upper Elementary School,224,090156001368
Wheeling High School,225,170417000117
White Mountains Regional High School,226,330705000454
Whittle School,227,
William Smith High School,228,080234000084
Winterboro High School,229,010318001226
[Non-Operating School] Workspace Education,230,
Wynne Intermediate School of Innovation,231,051443001173
Ysleta Elementary School,232,484668005346
Cesar E. Chávez Multicultural Academic Center,233,170993000411
Virtual Learning Academy,234,330327100679
International School of the Americas,235,483294007513
5280 High School,236,080336006756
ACE Leadership High School,237,350006001074
Altona Middle School,238,080537001886
Ascension Catholic School,239,
Aspen Valley Prep Academy,240,060171410775
Avonworth High School,241,420282005199
Benjamin Banneker Charter Public School,242,250002200514
Bennington Junior-Senior High School,243,200396000165
Big Picture Educational Academy,244,060182912427
Big Picture South Burlington at South Burlington High School,245,500747000294
Blessed Sacrament Catholic School,246,01507405
Blue Valley Center for Advanced Professional Studies (CAPS),247,
Boston Arts Academy,248,250279001128
Brockton High School,249,250309000385
Camden BPL Academy,250,340264000579
City of Bridges High School,251,
Coastal Leadership Academy,252,450390901615
Community of Saints Regional Catholic School,253,
ConVal Regional High School,254,330248000067
Cornerstone Academy for Social Action Middle School (CASA),255,360008806107
Da Vinci RISE High,256,060221514355
DC International school,257,110009700492
Del Lago Academy,258,061291013061
Dighton Elementary School,259,200555001294
Dighton Junior-Senior High School,260,200555001296
DSST: Montview High School,261,080336001833
Durango Big Picture High School,262,080348006597
Eisenhower Elementary,263,261482005178
El Centro de Estudiantes,264,
Eliza Chappell Elementary School,265,170993000658
[Non-operating school] Embark Education,266,
Energy Institute High School,267,482364013046
Environmental Charter School,268,420081206819
EPIC Academy at Lamoille Union High School,269,500039700171
Escuela Verde,270,550006902920
Fugees Academy,271,
Fulton Academy of Science and Technology,272,130228004259
Futures Academy,273,
Galileo STEM Academy,274,160210000945
Glenwood Elementary,275,291518000691
Grand Rapids Public Museum School,276,
Great Oaks Legacy Charter School,277,340075103180
Greater Egleston High School,278,250279000837
Happy Hollow Elementary School,279,050612000321
Harrison High School,280,080453000667
Health Leadership High School,281,350006001098
Henry Ford Academy,282,260017101040
Highland Academy Charter School,283,020018000555
Highlands Micro School,284,
Hillbrook School,285,00083054
Huntley High School,286,171983002247
Ida B. Wells Middle School,287,110003000524
iLEAD Exploration,288,
Innovation Academy at Pembroke Academy,289,330558000359
Integrated Arts Academy,290,270819004310
International High School at Langley Park,291,240051001738
Intrinsic Charter School,292,170993006293
Iowa BIG,293,
John J. Cairns High School,294,062187005524
Journey Elementary,295,463135001288
Kennedy Elementary School,296,201284000723
LaFayette Big Picture at LaFayette Junior/Senior High School,297,361641001448
Lakeridge Elementary,298,530723001076
Lead Innovation Studio,299,292355003313
Leominster Center for Excellence,300,250678002779
Liberal High School,301,200873001286
Lincoln Middle School (AR),302,050894001363
[Non-Operating School] Living School,303,220031402466
Lonoke High School,304,050906000642
Mapleton Early Career Preparation ,305,080555001858
Achieve Community Charter School,306,340079203419
Marshall High School,307,050948000693
Matchbook Learning at Wendell Phillips,308,180019402642
Met Sacramento High School,309,063384011194
Methow Valley Independent Learning Center,310,530502002526
Mountain Academy at Teton Science School - Jackson Campus,311,A0303404
Nashville Big Picture High School,312,470318002136
Nawayee Center School,313,272124001903
New Orleans Accelerated High School,314,220032402498
New Orleans Charter Science and Mathematics High School (SciHigh),315,220028100234
New Village Girls Academy,316,060157111631
Newark East Side High School,317,341134002194
Newburgh Free Academy West,318,362070002910
Nipmuc Regional High School,319,250768001202
Big Picture Learning Windsor,320,060003414243
North Elementary School,321,540093001291
North Idaho STEM Charter Academy,322,160016001020
Northeast Academy for Aerospace and Advanced Technologies,323,370039403360
Northwest Passage High School,324,270017303041
NuVu High School,325,
Odyssey STEM Academy,326,062985014236
Olympic Hills Elementary,327,530771001228
Open School East,328,
Opportunities Academy,329,220030902475
Ottawa High School,330,200001500463
P.K. Yonge,331,120201502912
Pathways High,332,550007903064
Paulo Freire Freedom School -Downtown,333,040040703448
Paulo Freire Freedom School -University,334,040040702558
Pequea Valley High School,335,421890002649
Pittsburgh Colfax K-8,336,421917006022
Positive Outcomes Charter School,337,100000500013
Prairie School,338,
Provident Heights Elementary,339,484428005052
R5 High School,340,080435000623
RAMTEC,341,
ReNew Dolores T. Aaron Elementary,342,220019502021
Richards Middle School,343,261482005185
Rockcreek Elementary School,344,180036000079
Saint John Paul II,345,02120766
San Diego Met High School,346,063432011154
San Francisco Day School,347,A9101311
Science Leadership Academy,348,421899000923
Siembra Leadership High School,349,350006001117
SMASH (Santa Monica Alternative School House),350,063570007360
Sojourner Truth Montessori School,351,110011100535
Somerville High School,352,251089001745
South Bronx Community Charter High School,353,360114706595
Southside Elementary School,354,220102000771
SPARK School at Kyrene de las Manitas,355,040423000677
Stockton Elementary School,356,201206000401
Tacoma School of the Arts,357,530870002846
Tahoe Expedition Academy,358,A1300454
Technology Leadership High School,359,350006001112
The Center for Advanced Research and Technology (CART),360,
The Net: Central City,361,220018802340
The Springfield Renaissance School,362,251113002137
Tri-County Early College High School,363,370078002892
University Academy Upper School,364,290002702808
Valley Day School,365,A1303067
Van Ness Elementary School,366,110003000505
Vaux Big Picture High School,367,421899007661
Verdi EcoSchool,368,A1792034
Vista Grande Charter High School,369,350252001021
Waring School,370,02033839
Washtenaw Alliance for Virtual Education (WAVE),371,268099008165
Welte Education Center,372,080408000096
Wickliffe High School,373,390450801986
Winchester Thurston School,374,01197399
Young Women's College Preparatory Academy,375,482364012621
Young Women's STEAM Research and Preparatory Academy,376,481830013596
Bard High School Early College - Manhattan,377,360007605621
Wilder High School,378,160348000530
Zeta Bronx 1 Elementary,379,360117706638
Southeast Area Technical High School (SEA-TECH),380,370333003439
Olympic High School,381,370297001255
Next STEP High,382,
Oxford Virtual Academy,383,262724008274
Gull Lake Virtual Partnership,384,261725008242
Woods Learning Center,385,560451000262
"School of Industrial Design, Engineering and Art",386,530870003575
Madrona Elementary,387,530354000533
Frederick County Middle School,388,510147000649
Central Vermont Career Center,389,500044500119
River Bend Career & Technical Center,390,500043700118
Bellows Free Academy,391,
Putney School,392,
Randolph Union High School,393,500040000042
Hazen Union High School,394,500824300343
Missisquoi Valley Union Middle and High School,395,500043300195
Quest Academy,396,490013201218
Williams Elementary School,397,483432003856
Sam Houston Collegiate Preparatory Academy,398,483057003442
Hilton Head Christian Academy,399,01611813
Legacy Prep,400,010020102472
University Charter School,401,010019902452
i3 Academy,402,010020402476
Desert Spirit School,403,040342002281
Palo Verde Elementary School,404,040171000111
Western School of Science and Technology,405,040092403436
Bioscience High School,406,040633002670
Batesville Junior High School,407,050001900042
Alta Vista Innovation High,408,
Felicitas and Gonzalo Mendez High,409,062271012438
CHIME Institute's Schwarzenegger Community,410,060149008724
Tomorrow's Leadership Collaborative (TLC) Charter,411,060227214331
Renaissance Arts Academy,412,060176611314
Audeo Charter School II,413,060185514028
Crete Academy,414,060147014100
Yu Ming Charter School,415,060201312901
Chrysalis Charter School,416,060225311800
Grant Beacon Middle School,417,080336000357
Kepner Beacon Middle School,418,080336006686
Escuela Valdez,419,080336000420
McGlone Academy,420,080336001276
Great Oaks Bridgeport,421,090021901782
Inspired Teaching Demonstration Public Charter School,422,110008000437
Ballou Senior High School,423,110003000084
Anacostia High School,424,110003000085
Promise Academy,425,110003100419
Center City Congress Heights,426,110007300412
Eden Park Elementary School,427,440024000047
City Charter High School,428,420009400663
The Workshop School,429,421899007548
Building 21 Philadelphia,430,421899007534
The U School,431,421899007547
Charles Page High School,432,402688001405
The Urban Assembly School for Green Careers,433,360007806148
Urban Assembly Charter School For Computer Science,434,360118206634
Pelham Gardens Middle School,435,360008806322
PS 76 The Bennington School,436,360008802306
Community Roots Charter School,437,360015905898
PS 206 Jose Celso Barbosa,438,360007902694
Jasper High School,439,050824000545
The Museum School of Avondale Estates,440,130174004039
Clearmont Elementary,441,171377001711
Noblesville High School,442,180765001309
Rooted School Indianapolis,443,180022402709
PilotED Bethel Park,444,180020202661
Lewisburg Elementary,445,210354001545
Eminence High School,446,210171000332
Mālama Honua Public Charter School,447,150003000299
"Ke Kula ʻo Samuel M. Kamakau, LPCS",448,150003000276
"Ke Kula ʻo Nāwahīokalaniʻōpuʻu Iki, LPCS",449,150003000284
Lycée Français de la Nouvelle Orléans,450,220015902331
Bricolage Academy,451,220028902364
Nokomis Regional High,452,231478500729
Mattanawcook Junior High School,453,231477700789
Ella Burr Elementary,454,231477700787
Uxbridge High School,455,251185001938
High School for the Recording Arts,456,270016002955
"Dził Ditł'ooi School of Empowerment, Action, and Perseverance (DEAP)",457,350017401113
The Albuquerque Sign Language Academy,458,350012301066
Newport High School,459,330531000342
Salem High School (NH),460,330606000407
Dixon School,461,
Spring Grove School,462,
Minnesota Center for Advanced Professional Studies,463,
Level Up Academy,464,
Paladin Career and Technical High School,465,270034304133
The Forest School,466,
KM Global,467,550351002876
Da Vinci Communications,468,060150513832
Da Vinci Science,469,060241612208
Da Vinci Design,470,060197312410
Woodstock Union Middle/High School,471,500045000395
Burlington City & Lake Semester,472,
Winooski Middle High School,473,500936000389
EdVisions Off Campus School,474,270026103319
Link Learning,475,
Wish Community School,476,060221314196
Paramount Brookside,477,180008602478
West Michigan Virtual Academy,478,
Central Queens Academy - Middle School,479,360105606317
Manara Leadership Academy,480,480141513534
Arlington STEM Academy,481,480141513108
Irving Elementary,482,480141512439
Detroit Prep,483,260104808796
Exploration High School,493,
Tindley Summit Academy,494,180014802563
Revolution School,495,A2103361
PS 13 Clement C Moore,497,360009802081
Wilder Middle School,498,160348001091
Village High School,499,080192006434
Innovations Early College High School,500,490087001422
Launch High,501,490039001562
Liberty Academy,502,291854001665
Montessori Adolescent Program,503,A1790323
DREAM Charter School,504,360096406038
Brooklyn Free School,505,A0701595
Red Bridge,506,
Mesita Elementary,507,481830001703
ARISE High,508,060246212040
Winton Woods High School,509,390440801018
Creativity Challenge Community,510,080336006559
Nyos Charter School,511,480005808056
Long-View Learning,512,
Momentous School,513,A9304081
[Non-Operating] Forest Freedom School,514,
St. Paul School of Northern Lights,515,"270045805256, 270045805431"
George Washington Elementary,516,
Career Academy High School,517,180010102521
Richland Two Institute of Innovation (R2i2),518,450339001554
PS 86 Kingsbridge Heights,519,360008702332
Penrose Elementary School,520,080396000516
Middle Park High School,521,080432000596
Yampa Valley High School,522,080666001924
Elevate Academy Caldwell,523,160018901113
Slope School,524,A2390527
Charter School of San Diego,525,060187603939
Crossroads FLEX,526,370472003402
Springs Studio for Academic Excellence,527,080387006462
KIPP Philadelphia Preparatory Academy,528,420012200758
Brown County High School,529,180096000169
Helen S Dunn Elementary School,530,230618000165
Arsenal Technical High School,531,180477000801
Cabot School,532,500285000074
Turrill Elementary School,534,262118005837
CLK Engage at CLK Elementary School,535,260769004353 (parent school)
Mead Senior High School,536,530492000749
Northern Cass High School,537,380004400138
Grayson School,538,A1703032
Enosburg Falls Junior/Senior High School,539,500044400022
The Delta School,540,
Clark Street Community School,541,550951002882
Utah Career Path High School,542,490017101460
Milton Senior High School,543,500561000125
Brightworks,544,A1300162
Acton Academy Venice Beach,545,A1700094
Rogers New Technology High School,547,051197001586
Phoenix Modern,549,040099003649
Gowan Science Academy,550,040240003323
Tanque Verde High School,551,040828002550
Arabia Mountain High School - Academy of Engineering- Medic,552,130174003915
Ivy Academy Inc.,554,470159002220
Grayson High School,555,130255002387
IDEA Frontier College Preparatory,556,480021111952
Young Women's Preparatory Academy,558,120039007016
Holladay Intermediate Magnet School,559,040880000851
Veterans Memorial Early College H S,560,481168012029
Valle Verde Early College H S,561,484668011982
Salem Academy Charter School,562,250008401847
Jimmy Carter Early College High School,563,482613010825
Phillips Academy,564,00603199
[Non-Operating School] RISE Academy,565,530807002355
Sequoyah School,566,BB180115
Springhouse Community School,567,
Swiftwater Alternative High School,568,530135002987
The Sycamore School,569,
Two Rivers School,570,530804002158
Utah Schools for the Deaf and the Blind,571,
School to Purpose Academies,572,
Southern Nevada Urban Micro Academy ,573,
Dayspring Academy,575,120153004426
Conductive Education Center of Orlando,576,
North Florida School of Special Education,577,
Jacksonville School for Autism,578,
Chautauqua Charter School,579,120009005431
My Reflection Matters Village,580,
Vimenti School,581,720003001945
Bridges Academy,582,
White River Valley Middle School,583,500042600545
Coquillard Elementary School,584,181029001644
Beta Academy,585,480144613188
Foundation School of Autism - San Antonio,586,480020713927
Asu Preparatory Academy Digital,587,040096503556
Texas Tech University K-12,588,
Personalized Learning Preparatory at Sam Houston,589,481623001283
CityLab High School,591,481623013553
Nazareth Prep,593,
A Vito Martinez Middle School,594,174007004037
The Williamsburg High School of Art and Technology,595,360011905896
Kennelly School,596,090192000368
School 9 - Dr. Martin Luther King Jr.,597,362475003384
The Exploris School,598,370004302358
Coatimundi Middle School,600,040752002768
New Harmony High Institute,601,220030402457
Highlander Elementary Charter,602,440003100524
360 High School,603,440090000492
The 1881 Institute,604,
8 Million Stories,605,
Build UP,606,A1900008
La Luz,607,
Legacy Classical Christian Academy,608,A1190082
OpenEd,609,
Portal Schools,610,
Samuel Everett School of Innovation,611,470030002557
Unidos Homeschool Cooperative,612,
Wild Rose Montessori,613,
Gary Middle College,614,180010202535
 [Non-Operating School] Oceti Sakowin Educational Learning Center,615,
Katahdin Middle/High School,616,231483800397
The Innovation Center of St. Vrain Valley Schools,617,
Vista Innovation and Design Academy,619,064119006825
Atlas Public Schools,620,
Da Vinci Connect TK-8,621,060229313702
Georgia Fugees Academy Charter School,622,130026304378
Dallas Hybrid Preparatory at Stephen J. Hay,623,481623014139
La Promesa,624,
Lumen High School,625,530035003770
Magic City Acceptance Academy,626,010021102505
Phoenix International Academy,627,040097503596
Rainier Valley Leadership Academy,628,530034203602
Brooklyn International High School,629,360009101371
Crotona International High School,630,360008706247
South Bronx Academy for Applied Media,631,360008405785
Marsh Avenue Expeditionary Learning School,632,360010306006
Urban Assembly Unison School,633,360009106366
Hunter's Point Community Middle School,634,360010206441
STREAM School at Hamilton Middle School,635,261740001319 (parent school)
Waxpool Elementary,636,510225003060
Goshen Post Elementary,637,510225003046
Prospect Academy,638,
"Roxbury Roots Montessori, Inc.",639,
Valor Preparatory Academy of Arizona,640,040098803680
University Heights Secondary School - Bronx Community College,641,360008400749
Arturo A. Schomburg Satellite Academy Bronx,642,360009006218
DeKalb Brilliance Academy,643,130585104459
Compass Academy,646,160153001043
Ignite Institute,647,2100289
Praxium Mastery Academy,648,
Portland Middle School,649,262912006499
Hamilton High School,650,261740005416
Washington Middle School,651,260769004354
Portland High School,652,262912006497
Dolores Huerta Middle School,653,063543014549
Colchester High School,654,500324000087
Kilombo Academic and Cultural Institute,655,
Lucama Elementary,656,370502002002
David H. Petree Elementary,657,370150002451
Ross Elementary,658,481800001591
St. Patrick Catholic School,659,00259009
One World Middle School,660,360008806259
Great Minds Virtual,661,
[Non-Operating School] Capitol Learning Academy,662,A1990177
Global Citizens Public Charter School,663,110011600545
Phoenix International School of the Arts,664,
Capital Experience Lab,665,
[Non-Operating School] I Dream Public Charter School,666,110011400538
Capital Village Public Charter School,667,110011200536
Heartwood Agile Learning Center,668,
Batesburg-Leesville Primary School,669,450276000745
Dr. William W. Henderson K-12 Inclusion School,671,250279000952
Tapestry Public Charter School,672,130174004159
Cecilton Elementary School,673,240024000562
Fenway High School,674,250279000695
Odessa High School,675,100008000390
Antrim Elementary School,676,330248000065
Charlotte Central School,677,500039600084
Creative Minds International,678,110008400440
Ruby Bridges Elementary School,679,530591003746
Bennett Day School,680,
Windham Woods School,681,
Compass Community Collaborative School,682,080399006762
Lighthouse Holyoke,683,
Mastery School of Hawken,684,A9702662
Innovation Lab High School,685,530591003747
A School Without Walls,686,
Academy of Advanced Learning,687,080234006736
Alabama Aerospace and Aviation High School,688,010021302528
Alma Fuerte Public School,689,060240814146
Altura Preparatory School,690,350017801138
Aventura Community School,691,
Becoming Collegiate Academy,692,120048008966
BELIEVE Circle City High School,693,180022302708
Bostonia Global K-14,694,060256214589
Breakthrough Charter School,695,010020802503
Bronx Legacy High School,696,360115806600
BRICK Achieve Middle School,697,340079203419
Brooklyn Laboratory Charter School,698,"360111106493, 360118606645"
Building 21 Allentown,699,420228007623
Butler Academy,700,450390101737
Caliber ChangeMakers Academy,701,060158214030
Carter G. Woodson College Preparatory Academy,702,210186002525
Catalyst: Bremerton,703,530034703723
Compass Rose Harvest,704,
Coperni 3,705,080002006784
Discovery Early College High School,706,
Empower Community School,707,
Endazhi-Nitaawiging Charter School,708,270048405570
Gotham Tech,709,
Growth Public Schools,710,060218314124
Hayward Collegiate Charter School,711,
High School of Commerce,712,251113001806
Ignite Middle School,713,481623013825
Kansas City Girls Prep Academy,714,290061503364
Las Américas ASPIRA Academy,715,100005000342
LEEP Dual Language Academy,716,360120506696
MS 935,717,360012006739
Marin's Community School,718,069101809230
McClure Health Science High School,719,130255004344
Montessori Elementary at Highland Park,720,470159002652
MS 371 SEED: Harlem,721,360008106713
Nichols Intermediate Academy of Leadership,722,050042101669
Oxford Day Academy,723,060201614082
Phalen Leadership Academy @ 103,724,180021800834
Pinnacles Prep,725,530035203807
Rise STEM Academy for Girls,726,210186002513
Rodriguez Elementary,727,483897013738
Seckinger High School,728,130255004425
Solar Preparatory School for Boys,729,481623013841
The Genius School,730,
URBAN ACT Academy,731,180019202640
West Dallas STEM School,732,
Why Not You Academy,733,
THRIVE Community School,734,350018901166
Acceleration Day and Evening Academy,735,010019702432
Acceleration Preparatory Academy,736,010019702527
Achievers Early College Prep Charter School,737,340079403457
Zeta Bronx Tremont Park Elementary,738,360121906717
Impact | Commencement Bay Elementary,739,530035403782
Impact | Salish Sea Elementary,740,530034803749
Synergy at Fremont Middle School,741,160177000805
Elevate Academy Nampa,742,160020301165
KIPP Beyond Middle School,743,360122706735
LEAD Charter School,744,340078803423
Chelsea Opportunity Academy,745,250354002890
Opportunity Academy at Holyoke High School,746,
Nowell Academy,747,440002400483
Zeta Inwood,748,360117106637
Zeta Mount Eden,749,360121806716
Liberty STEAM Charter School,750,450390101741
Maritime High School,751,530354003793
The Leadership School,752,
University High School,753,
Rio Rico High School,754,040752001036
Choice Learning Academy,755,040060000015
Cibola High School,756,040963001388
San Luis High School,757,040963003076
Zuni High School,758,350280000676
Aggie Academy,759,
Perry Ingenuity Institute,760,
Great Hearts Online,762,480144114170
Skyline High School,763,062805004315	
Robert F. Smith STEAM Academy,764,080336006821
Ednovate Virtual Academy,765,
Purdue Polytechnic High School - Broad Ripple,766,180021102685
Purdue Polytechnic High School - South Bend,767,180021402689
Icon Preparatory School Jacksonville,768,
Aventuras Forest School,769,
UP Academy,770,A1992179
Keres Children's Learning Center,771,A1990541
AIM Academy,772,BB081524
St. Benedict's Preparatory School,773,
Phoenix Coding Academy,775,040633003509
PXU City,776,040633003701
Anderson Institute of Technology,777,450391101720
EVOLVE Academy,778,
Oakes Public School,779,
Hartford Area Career and Technology Center,780,500459000093
Bismarck Career Academy and Technical Center,781,
The Primary School of East Palo Alto,782,A1900804
Margarita Muñiz Academy,783,250279002753
Manchester High School,784,090231000424
Rogers High School,785,440072000159
The New School of San Francisco,786,060243913939
California Area High School,787,420471004203
Arthur Ashe Charter School,788,220019200947
Langston Hughes Charter Academy,789,220020600976
Champlain Valley Union High School,790,500039600082
Greater Lawrence Technical School,791,250547002267
Kairos Academies,792,290061603362
Navajo Preparatory School,793,590011600144
[Non-Operating School] Blue School,794,A1101633
The Nueva School,795,00089169
Schools of Perea,796,470014802544
Belleville Township High School Alternative Day Program,797,
Codman Academy Charter School,799,250007001667
Libertas School of Memphis,800,470015702437
Rooted School Vancouver,801,531017103924
Maureen Joy Charter School,802,370002202089
